feature_set,path,kernel,bandwidth_factor,statistic,trajectory_template,row_count,association
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,seed-1|level-1|S0_full_support,36,-0.026321570409920874
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.035138390511821396
strict_source_G4_coordinates,strict_source,laplacian,2.0,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.032066249431201545
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,seed-0|level-0|S0_full_support,36,0.1169451547561422
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,seed-0|level-1|S0_full_support,36,0.14132148707730702
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,seed-1|level-0|S0_full_support,36,0.1615547840756579
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,seed-1|level-1|S0_full_support,36,0.13217637099060311
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,seed-2|level-0|S0_full_support,36,0.07959779494238862
strict_source_G4_coordinates,strict_source,laplacian,2.0,centered_hsic,seed-2|level-1|S0_full_support,36,0.09718754545124113
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,seed-0|level-0|S0_full_support,36,-0.014925524012524878
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,seed-0|level-1|S0_full_support,36,-0.02380428253893603
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,seed-1|level-0|S0_full_support,36,-0.03289157810671342
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,seed-1|level-1|S0_full_support,36,0.03660014023120219
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,seed-2|level-0|S0_full_support,36,-0.04747263491569523
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,normalized_alignment,seed-2|level-1|S0_full_support,36,-0.025996765891963734
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,centered_hsic,seed-0|level-0|S0_full_support,36,0.12879617393492973
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,centered_hsic,seed-0|level-1|S0_full_support,36,0.10271496809609461
target_unlabeled_G2_Wz,target_unlabeled,rbf,0.5,centered_hsic,seed-1|level-0|S0_full_support,36,0.09768613494921649
